285,awahan,ancang-ancang
286,awak,"badan, tubuh"
287,awak sabelah,janda yang hidup sendiri
288,aweh,memberi salam
289,"awer, uwar-awer",tumpah tidak kesatu tempat (spt orang saat menuangkan air dr cerek tidak semua air itu masuk ke dlm gelas)
290,awewe,"perempuan, wanita, istri"
291,awi,bambu
292,awis,mahal
293,"awit, kawit, ngawitan","asal, mulai, memulai"
294,awon,"buruk, jelek"
295,awuntah,"boros, tidak pandai mengatur pengeluaran rezeki"
296,awur-awuran,bertaburan
297,"awur, ngawur, ngawurkeun","menaburkan, memberi makanan (burung merpati"
298,"awut, ngawut-ngawut","acak, mengacak-acak, menjadikan berantakan (pakaian dlm iemari)"
299,aya,ada
300,"ayak, ngayak",memisahkan yang kasar dari yang halus
301,ayakan,alat utk memisahkan benda kasar
302,"ayeg, diayeg",terus-terusan dikasih (uang)
303,"ayer, ngayer",tidak berhenti-henti (hujan dsb)
304,ayeuh,rebah (pohon padi dsb)
305,"ayeuna, ayeuna-ayeuna","sekarang, kini, baru-baru saja"
306,ayum,nayuman
307,béak,"habis, tak bersisa"
308,béar,pera
309,béas,beras
310,béat,dibeat disumpah
311,bébéné,pacar
312,bébénjo,"ngabebenjokeun budak mengalihkan pikiran, perhatian anak agar menjadi senang"
313,bébéong,baung
314,bébér,beber
315,bébérétéan,tumbuh-tumbuhan
316,bébekis,memencak-mencak (menelak dgn gerakan tangan sambil marah)
317,bédor,ujung anak panah
318,béh,utk menemukan
319,"béjér, dibéjér-béaskeun",diterangkan sampai jelas betul
320,béka,ikan basah yang telah diberi garam dicampur dgn nasi kering sedikit
321,békér,sb burung rawa
322,béléké,susah sekali
323,bélékétépé,daun kelapa yang dianyam dibentuk keranjang
324,bélong,mesin tempat menggoreng teh di pabrik
325,bélot,"lebih jauh karena berbelok, berbelok-belok"
326,béngbar,"dibengbarkeun dibanting ke kiri, ke kanan"
327,béngbat,kabengbat tergoda
328,béngbréng,ngabrengbreng
329,béngeh,terbukata sedikit
330,béngkong,dukun sunat
331,béngo,erot
332,béngras,terang benderang
333,béntés,jelas
334,béntang,bintang
335,béntar,dibentar gelap
336,béntol,bintit
337,béré,beri
338,bérégégéh,sok gagah
339,"bérélé, ngabérélé",mengembik suara kambing
340,bérés,beres
341,bérag,gembira
342,baal,kebal (perasaan akibat kedinginan)
343,baan,bawa
344,babacakan,"sukata ria, pesta, makan-makan"
345,babadean,teka-teki
346,babadon,bubu
347,babadotan,"sejenis tumbuhan kecil, bunganya putih, daunnya bau kambing jantan, biasanya dipergunakan sbg obat lukata ringan"
348,"babahak, kukubahak",ujung busur yang biasanya dipakai utk mengikat kan tali busur berea bang dan dibuat dr tanduk dsb
349,babak,"terkelukur, lecet, ronde, sebuah lagu yang dinyanyikan tamat (satu bait)"
350,babakan,"daerah, kampung yang baru"
351,babakaur,"lipan, kelabang"
352,babalen,bepergian utk berjual beli
353,babancong,"bangunan kecil di pinggir alun-alun, panggung utk orang-orang besar (pd zaman-dulu)"
354,babang,"kabur (kapok tidak mau datang lagi sebab telah disakiti, diberi malu atau karena mempu nyai dosa)"
355,babar,"lahir, melahirkan, banyak, cukup utk orang banyak"
356,babaran,"penjelasan, uraian"
357,babari,"mudah, gampang"
358,babarian,cengeng
359,babarit,selamatan tujuh bulan yang sedang hamil
360,babasan,"ungkapan, arti kiasan, mis panjang leungeun,. panjang tangan"
361,babatang,mayat
362,babatok,"bkp tengkorak, tulang kepala"
363,babaung,bunyi atau suara salak anjing yang melengking dan membuat bulu kuduk berdiri
