316,babasan,"ungkapan, arti kiasan (misal: panjang leungeun: panjang tangan)"
317,babatang,mayat
318,babatok,"bkp tengkorak, tulang kepala"
319,babaung,bunyi atau suara salak anjing yang melengking dan membuat bulu kuduk berdiri
320,"babay, kababayan","buang air besar menceret-mencret yang tak tertahan kan, bukan pd tempatnya"
321,"babet, ngabetkeun, lanjang-babet","banting, membantingkan sesuatu, kata ejekan kpd anak gadis yg sudah sepantasnya berkeluarga, tetapi masih belum juga menikah"
322,bablas,sampai selesai (dari awal sampai akhir)
323,"babon, babon kapurba ku jago, carita babon","bibit, perempuan harus menurut kpd suaminya, cerita sumber (misal: cerita Ramayana karangan Walmiki, Mahabrata karangan Wyasa dsb)"
324,"babuk, ngababuk","pukul, memukul dengan benda yang panjang dan liat misalnya dengan ikat pinggang, handuk dsb"
325,babut,mencabut bibit padi dari tempat persemaian utk ditanam di sawah
326,bacacar,berantakan
327,"bacem, ngabacem, baceman","membumbui ikan basah atau daging kemudian dibiarkan beberapa saat sebelum dimasak, ikan yg dibaeem, bermacam-macam kembang, daun-daun, akar-akaran yg dikeringkan utk mewangikan pakaian"
328,baceo,"tak henti-hentinya bicara, namun tak jelas ujung pangkalnya biasanya anak yang sedang belajar bicara, suara ramai spt orang yang berbicara, mis burung beo, cucakrawa , dsb)"
329,bacokak,"berbicara kotor, berbicara porno"
330,"bacreuk, ngabacreuk","pemasangan bermacam macam makanan yang dijadikan hiasan di tempat kenduri, tidak laku (dagangan)"
331,badag,besar
332,"badal, badal tarekat, badal syah","wakil yang dikuasakan, wakil guru tarekat, yg dikuasakan oleh syah"
333,badami,berunding
334,"badan, badaniah, misah badan misah nyawa","badan atu tubuh, jasmaniah, tidak sama atau segalanya berbeda"
335,badar,"ikan sungai, permata, tempat di arab yang pernah dijadikan tempat perang antara orang-orang islam dan orang kurais (perang badar)"
336,badarat,"bepergian dgn jalan kaki, menyampaikan pesan dgn lisan"
337,"badaus, ngabadaus","bunga kaso (gelagah), berjalan dgn lidak menengok ke sana kemari"
338,badawang,odek-ondel atau ondel-ondel
339,badaya,"wanita penari di kraton atau kabupaten, tariannya pun tarian khusus."
340,"bade, ngabade","mau, akan, terka, menerka"
341,"badeg, ngabadeg",sangat banyak
342,"badega, ngabadegakeun","pelayan, pembantu, memperlakukan spt pd pembantu"
343,"badeur, dibadeuran","bandel, tidak bisa dilarang, diganggu"
344,"badi, kabadi","badik, sakit mendadak dan disangka sakitnya itu akibat gangguan makhluk halus"
345,badigul,"badannya besar, tak pantas dan biasanya kepalanya gundul"
